Question,Answer,Option1,Option2,Option3,Option4
"Which novel is set in the fictional town of Macondo?","One Hundred Years of Solitude","Love in the Time of Cholera","One Hundred Years of Solitude","The House of the Spirits","Pedro Páramo"
"Who is the author of 'The God of Small Things'?","Arundhati Roy","Salman Rushdie","Arundhati Roy","Kiran Desai","Jhumpa Lahiri"
"In 'The Taming of the Shrew', who is the 'shrew'?","Katherina","Bianca","Katherina","Petruchio","Lucentio"
"Who wrote 'If on a winter's night a traveler'?","Italo Calvino","Umberto Eco","Italo Calvino","Jorge Luis Borges","Gabriel García Márquez"
"Which author is known as the 'Bard of Avon'?","William Shakespeare","Geoffrey Chaucer","William Shakespeare","John Milton","Christopher Marlowe"
"Who wrote the short story 'The Yellow Wallpaper'?","Charlotte Perkins Gilman","Kate Chopin","Charlotte Perkins Gilman","Edith Wharton","Virginia Woolf"
"In 'The Three Musketeers', who is the fourth person who joins the titular group?","D'Artagnan","Richelieu","D'Artagnan","Rochefort","Planchet"
"Who is the author of 'Life of Pi'?","Yann Martel","Paulo Coelho","Yann Martel","Khaled Hosseini","Haruki Murakami"
"What is a 14-line poem with a specific rhyme scheme called?","A sonnet","A haiku","A sonnet","A limerick","An epic"
"Who wrote 'The House of the Spirits'?","Isabel Allende","Gabriel García Márquez","Isabel Allende","Jorge Luis Borges","Laura Esquivel"
"In 'The Outsiders', what are the two rival gangs?","The Greasers and the Socs","The Jets and the Sharks","The Greasers and the Socs","The Montagues and the Capulets","The Bloods and the Crips"
"Who wrote the philosophical text 'Thus Spoke Zarathustra'?","Friedrich Nietzsche","Søren Kierkegaard","Friedrich Nietzsche","Arthur Schopenhauer","Immanuel Kant"
"Which novel ends with the line 'Tomorrow I'll think of some way to get him back. After all, tomorrow is another day.'?","Gone with the Wind","The Great Gatsby","Gone with the Wind","Rebecca","Pride and Prejudice"
"Who is the author of 'The Name of the Rose'?","Umberto Eco","Italo Calvino","Umberto Eco","Jorge Luis Borges","Primo Levi"
"In 'The Alchemist', what is the name of the boy protagonist?","Santiago","Paulo","Santiago","Melchizedek","Fatima"
"Who wrote the poem 'Ozymandias'?","Percy Bysshe Shelley","John Keats","Percy Bysshe Shelley","Lord Byron","William Wordsworth"
"Which of Roald Dahl's books features the character Miss Trunchbull?","Matilda","The BFG","Matilda","Charlie and the Chocolate Factory","The Witches"
